PIT MAP: Last updated 4/26/2026 6:15 PM CDT (Version 2026.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A52,B51,,B52,C51,,C52,D51,,INSPECTION,,,INSPECTION,,,F52,G51,,G52,H51,,,,,,J52,K51,,K52,L51,,INSPECTION,,,INSPECTION,,,N52,P51,,P52,Q51,,Q52,R51,,
,,11297,1114,,3045,2960,,548,1646,,,,,,,,1939,8393,,3008,2073,,,,,,3175,910,,1701,6639,,,,,,,,4421,353,,3419,3637,,686,359,,
A49,,A50,B49,,B50,C49,,C50,D49,,,,,,,,F50,G49,,G50,H49,,,,,,J50,K49,,K50,L49,,,,,,,,N50,P49,,P50,Q49,,Q50,R49,,R50
10021,,4272,4646,,6459,7525,,9401,4403,,,,,,,,9094,2530,,11178,1325,,,,,,581,7451,,8214,3015,,,,,,,,5462,10633,,2905,2403,,10526,4907,,10950
A47,,A48,B47,,B48,C47,,C48,D47,,D48,E47,,E48,F47,,F48,G47,,G48,H47,,,,,,J48,K47,,K48,L47,,L48,M47,,M48,N47,,N48,P47,,P48,Q47,,Q48,R47,,R48
2851,,1868,103,,11019,4096,,10162,8817,,11387,1741,,5534,6017,,7712,6919,,176,1727,,,,,,494,9785,,9449,188,,11270,8749,,8044,2601,,7250,3075,,5985,3277,,7763,8429,,4476
COL,,A46,B45,,B46,C45,,C46,COL,,D46,E45,,E46,F45,,F46,COL,,G46,H45,,,,,,J46,K45,,COL,L45,,L46,M45,,M46,N45,,COL,P45,,P46,Q45,,Q46,R45,,COL
,,1501,2847,,9084,9470,,2137,,,8608,2429,,6696,8724,,5813,,,3646,11141,,,,,,4191,6200,,,3467,,1986,5000,,540,4362,,,6989,,2846,6925,,8808,70,,
A43,,A44,B43,,B44,C43,,C44,D43,,D44,E43,,E44,F43,,F44,G43,,G44,H43,,,,,,J44,K43,,K44,L43,,L44,M43,,M44,N43,,N44,P43,,P44,Q43,,Q44,R43,,R44
1511,,2583,2826,,27,3494,,7407,9427,,1648,1155,,6391,5847,,2472,340,,1629,5937,,,,,,9692,1787,,5406,11493,,2834,4201,,503,2333,,7039,10604,,7426,1678,,10101,8873,,7717
A41,,A42,B41,,B42,C41,,C42,D41,,D42,E41,,E42,F41,,F42,G41,,G42,H41,,,,,,J42,K41,,K42,L41,,L42,M41,,M42,N41,,N42,P41,,P42,Q41,,Q42,R41,,R42
3284,,3476,5940,,5338,1241,,4593,2881,,131,1156,,1676,11,,303,3656,,5557,4678,,,,,,573,6517,,6152,3641,,2383,1732,,5348,287,,3707,6238,,4915,8020,,4270,1640,,694
ARCHIMEDES,,,,,,,,,,,,DALY,,,,,,,,,,,,,HOPPER,,,,,,,,,,,,MILSTEIN,,,,,,,,,,,
,,A36,B35,,B36,C35,,C36,D35,,D36,E35,,E36,F35,,F36,G35,,G36,H35,,,,,,J36,K35,,K36,L35,,L36,M35,,M36,N35,,N36,P35,,P36,Q35,,Q36,R35,,
,,1218,3006,,8884,1189,,2539,3604,,5665,3478,,2399,9545,,3314,3880,,6941,2338,,,,,,1706,3539,,10131,8005,,2056,5086,,6329,6090,,7457,11065,,4122,9644,,201,6002,,
,,A34,B33,,B34,C33,,C34,D33,,D34,E33,,E34,F33,,F34,G33,,G34,H33,,"P
I
T
 
A
D
M
I
N",,"P
I
T
 
A
D
M
I
N",,J34,K33,,K34,L33,,L34,M33,,M34,N33,,N34,P33,,P34,Q33,,Q34,R33,,
,,4728,2075,,9001,10015,,9126,7166,,587,1880,,10213,4028,,999,3100,,3990,4189,,,,,,3512,6328,,761,2199,,2486,4143,,3506,68,,2481,2169,,3928,2974,,1671,4905,,
,,A32,B31,,B32,C31,,C32,D31,,D32,E31,,E32,F31,,F32,G31,,G32,H31,,,,,,J32,K31,,K32,L31,,L32,M31,,M32,N31,,N32,P31,,P32,Q31,,Q32,R31,,
,,6907,2767,,1912,9032,,5468,7598,,#N/A,10619,,1538,3538,,1323,6106,,972,624,,,,,,401,5454,,10907,1287,,4174,3035,,238,7594,,4089,9140,,3492,4499,,343,2200,,
,,A30,B29,,B30,C29,,C30,D29,,D30,E29,,E30,F29,,F30,G29,,G30,H29,,,,,,J30,K29,,K30,L29,,L30,M29,,M30,N29,,N30,P29,,P30,Q29,,Q30,R29,,
,,9771,3572,,1619,1261,,5066,2106,,971,7520,,4674,3339,,7632,4188,,5550,469,,,,,,2102,3297,,11118,8267,,1014,2220,,1296,8158,,2811,4481,,7890,1771,,2122,2630,,
,,A28,B27,,B28,C27,,C28,D27,,D28,E27,,E28,F27,,F28,G27,,G28,H27,,,,,,J28,K27,,K28,L27,,L28,M27,,M28,N27,,N28,P27,,P28,Q27,,Q28,R27,,
,,5010,1731,,5829,167,,5166,3181,,11300,1058,,2883,272,,316,9175,,10002,4414,,,,,,11303,2659,,8513,2607,,1710,11024,,1625,1922,,1108,195,,4795,9635,,3245,263,,
,,A26,B25,,B26,C25,,C26,D25,,D26,E25,,E26,F25,,F26,G25,,G26,H25,,,,,,J26,K25,,K26,L25,,L26,M25,,M26,N25,,N26,P25,,P26,Q25,,Q26,R25,,
,,294,10254,,6417,8613,,5712,7421,,870,111,,2635,2582,,4065,10229,,6998,2718,,,,,,4698,7287,,1259,4613,,2337,9072,,334,1807,,6036,8373,,604,868,,2194,9029,,
,,A24,B23,,B24,C23,,C24,D23,,D24,E23,,E24,F23,,F24,G23,,G24,H23,,,,,,J24,K23,,K24,L23,,L24,M23,,M24,N23,,N24,P23,,P24,Q23,,Q24,R23,,
,,6773,59,,4611,7539,,1024,166,,6413,51,,1403,5577,,10991,10034,,5653,1720,,,,,,6121,4967,,2619,7220,,2704,1076,,2638,5549,,1902,3276,,148,6352,,687,2586,,
CURIE,,,,,,,,,,,,GALILEO,,,,,,,,,,,,,JOHNSON,,,,,,,,,,,,NEWTON,,,,,,,,,,,
A17,,A18,B17,,B18,C17,,C18,D17,,D18,E17,,E18,F17,,F18,G17,,G18,H17,,EMT,,EMT,,J18,K17,,K18,L17,,L18,M17,,M18,N17,,N18,P17,,P18,Q17,,Q18,R17,,R18
11304,,1477,2053,,1684,3128,,254,8575,,9068,11244,,11214,6201,,3931,4020,,1816,7415,,,,,,6829,3536,,117,7257,,955,836,,3620,2052,,9450,346,,2370,4590,,5948,9408,,3256
A15,,A16,B15,,B16,C15,,C16,D15,,D16,E15,,E16,F15,,F16,G15,,G16,H15,,,,,,J16,K15,,K16,L15,,L16,M15,,M16,N15,,N16,P15,,P16,Q15,,Q16,R15,,R16
11318,,6045,5193,,6800,6366,,2992,6369,,4256,5895,,7915,11417,,8069,9572,,2393,1533,,,,,,6766,498,,3770,2848,,190,9757,,4522,818,,5414,1833,,10903,930,,9128,10935,,695
A13,,A14,B13,,B14,C13,,C14,D13,,D14,E13,,E14,F13,,F14,G13,,G14,H13,,H14,,J13,,J14,K13,,K14,L13,,L14,M13,,M14,N13,,N14,P13,,P14,Q13,,Q14,R13,,R14
3847,,9200,10349,,10922,6497,,9609,2637,,4027,4655,,9496,5181,,614,3501,,3937,3082,,6911,,1908,,7403,245,,48,3630,,9646,9483,,179,5216,,3044,4253,,10291,2996,,9067,2910,,6647
A11,,A12,B11,,B12,C11,,C12,D11,,D12,E11,,E12,F11,,F12,G11,,G12,H11,,H12,,J11,,J12,K11,,K12,L11,,L12,M11,,M12,N11,,N12,P11,,P12,Q11,,Q12,R11,,R12
2412,,987,2443,,9077,9066,,8280,11167,,7028,4766,,6429,10980,,4469,2813,,4125,6985,,4607,,8,,772,5968,,1002,9597,,4635,4451,,3255,1884,,11463,599,,4561,4400,,2713,341,,1540
COL,,A10,B09,,B10,C09,,C10,COL,,D10,E09,,E10,F09,,F10,COL,,G10,H09,,H10,,J09,,J10,K09,,COL,L09,,L10,M09,,M10,N09,,COL,P09,,P10,Q09,,Q10,R09,,COL
,,8725,3197,,9023,5199,,6510,,,4786,1768,,2231,2556,,449,,,4450,3544,,931,,9484,,1306,6324,,,321,,5026,11269,,7563,2046,,,3005,,233,424,,8046,6988,,
A07,,A08,B07,,B08,C07,,C08,D07,,D08,E07,,E08,F07,,F08,G07,,G08,H07,,H08,,J07,,J08,K07,,K08,L07,,L08,M07,,M08,N07,,N08,P07,,P08,Q07,,Q08,R07,,R08
125,,5460,571,,8595,7565,,2357,5907,,1714,6528,,2054,7183,,16,3753,,3243,5913,,8119,,33,,10396,10114,,619,6652,,9277,10014,,7558,5951,,2067,2783,,973,88,,3354,7160,,5736
A05,,A06,B05,,B06,C05,,C06,D05,,D06,E05,,E06,F05,,F06,G05,,G06,H05,,H06,,J05,,J06,K05,,K06,L05,,L06,M05,,M06,N05,,N06,P05,,P06,Q05,,Q06,R05,,R06
302,,589,1987,,5572,1498,,3792,5987,,6615,4322,,1506,1690,,8159,2590,,8229,8858,,4087,,360,,1073,2040,,6940,1792,,2252,4946,,3603,3966,,948,1796,,6436,386,,9245,10979,,10553
,,A04,B03,,B04,C03,,INSPECTION,,,INSPECTION,,,E04,F03,,F04,G03,,G04,H03,,H04,,J03,,J04,K03,,K04,L03,,L04,M03,,INSPECTION,,,INSPECTION,,,P04,Q03,,Q04,R03,,
,,3932,2724,,7567,2682,,,,,,,,6665,1391,,7840,484,,11242,2468,,364,,8612,,422,3414,,118,7551,,10340,2877,,,,,,,,180,4099,,1577,4206,,
,,,,,,,,,,,,,,E02,F01,,F02,G01,,G02,H01,,,,,,J02,K01,,K02,L01,,L02,M01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7769,5705,,1023,1756,,2491,6487,,,,,,67,4391,,3061,2096,,10217,2522,,,,,,,,,,,,,,
Hall A,,,,,,,,,,,,,,,,,,,,,,,,,Hall E,,,,,,,,,,,,,,,,,,,,,,,
Excel version of pit map created by Che Smith of FRC 5414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to frc.nexus API for pit data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
